Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,vmaf,
38,0.991705,0.981724,0.987099,0.993061,0.994639,0.775475,1.477428,0.861880,0.991378,0.995245,0.996505,45.296228,47.612581,48.078343,96.104208,
39,0.990764,0.980169,0.986056,0.991475,0.994285,0.775475,0.775475,0.857565,0.990643,0.994364,0.995524,45.036330,47.612581,48.163830,95.777608,
40,0.992210,0.981301,0.987607,0.993288,0.995499,0.763833,2.571862,0.859078,0.991252,0.995446,0.996561,45.098028,47.496731,47.830258,96.211396,
41,0.991048,0.980605,0.985887,0.990930,0.995263,0.763833,0.763833,0.855015,0.989340,0.994320,0.996300,44.908154,47.960101,47.830258,95.877422,
42,0.991857,0.983501,0.987417,0.992490,0.994856,1.237803,2.112758,0.864288,0.990586,0.995509,0.996997,45.262368,47.897292,48.389940,96.804518,
43,0.991455,0.981578,0.986044,0.992413,0.994932,1.151986,1.237803,0.857832,0.990587,0.994971,0.996513,45.020476,47.382736,47.894045,96.538432,
44,0.992516,0.984712,0.987045,0.993154,0.995776,0.816528,1.151986,0.865063,0.991623,0.995838,0.997066,45.403534,47.565990,48.079698,96.408798,
45,0.991822,0.982959,0.987057,0.991653,0.995602,0.816528,0.816528,0.859537,0.989486,0.994524,0.996179,45.125047,47.903142,48.208957,96.116910,
46,0.990997,0.981439,0.986339,0.991172,0.994649,1.093762,1.830254,0.855715,0.989388,0.994330,0.996468,44.922210,47.420985,47.836018,96.322315,
47,0.991410,0.982113,0.987015,0.992193,0.994482,1.093762,1.093762,0.856857,0.989164,0.994013,0.996040,44.953922,47.743503,47.904443,96.363043,
48,0.991016,0.980278,0.985334,0.991839,0.994822,1.487361,1.487361,0.858663,0.990373,0.994966,0.996314,45.125047,47.848204,48.075635,96.873103,
49,0.991587,0.982209,0.987163,0.992492,0.994585,0.819170,1.489912,0.864162,0.991668,0.995583,0.996851,45.438055,47.538991,48.057400,96.181503,
50,0.991431,0.981312,0.986871,0.991569,0.995183,0.819170,0.819170,0.858784,0.991448,0.995583,0.996841,45.166413,47.616842,47.983891,96.145460,
51,0.990815,0.981731,0.985279,0.991019,0.994661,2.090426,2.631266,0.850129,0.988050,0.993415,0.995252,44.627066,47.407618,47.735361,97.460585,
52,0.991099,0.983365,0.986784,0.991670,0.993970,1.036531,2.090426,0.859866,0.988926,0.993918,0.996098,45.074820,47.704184,48.154171,96.217922,
53,0.991726,0.982775,0.986709,0.992555,0.994952,1.036531,1.036531,0.854866,0.990244,0.994608,0.996060,44.998511,47.586501,48.035887,96.388679,
54,0.990629,0.981628,0.985486,0.990040,0.994857,1.132357,2.568333,0.847598,0.988944,0.994131,0.996035,44.662312,47.126750,47.368335,96.247425,
55,0.991556,0.983547,0.985868,0.991540,0.995369,1.132357,1.132357,0.860847,0.991674,0.995715,0.997204,45.302835,47.839862,47.971980,96.628749,
56,0.990525,0.981243,0.985220,0.990811,0.994297,2.323698,2.323698,0.837291,0.987676,0.993506,0.995682,44.188852,47.281229,47.638207,97.737132,
57,0.989606,0.980417,0.983361,0.990164,0.993455,2.968231,2.968231,0.837964,0.985488,0.992436,0.995085,44.132322,47.147470,47.418657,98.272183,
58,0.990916,0.982888,0.984762,0.990856,0.994858,2.394758,2.987564,0.851897,0.989642,0.994777,0.996300,44.811890,47.323141,47.984554,98.037072,
59,0.990751,0.981924,0.985967,0.990438,0.994483,2.192448,2.394758,0.845087,0.988576,0.994167,0.995806,44.589146,47.299869,47.563583,97.660116,
60,0.991379,0.982187,0.984707,0.991796,0.995306,2.192448,2.192448,0.852720,0.990322,0.995164,0.996673,45.002429,47.601645,47.800935,97.922785,
61,0.990201,0.980430,0.984747,0.991330,0.993324,1.668488,2.487815,0.846029,0.988369,0.993263,0.994893,44.762061,47.640656,47.810475,96.733663,
62,0.991310,0.982223,0.985358,0.991914,0.994798,1.668488,1.668488,0.852380,0.989553,0.994321,0.995980,45.017547,47.560577,48.134918,97.117181,
63,0.990434,0.981947,0.984868,0.989619,0.994646,1.629906,2.021967,0.846765,0.987631,0.993544,0.995687,44.752289,47.584688,47.683729,96.805984,
64,0.991671,0.985081,0.986816,0.990459,0.995554,1.629906,1.629906,0.856936,0.990559,0.995023,0.996617,45.191771,47.864290,48.332119,97.233022,
65,0.991307,0.981739,0.986274,0.992020,0.994619,1.959605,2.164083,0.852679,0.989138,0.993916,0.995657,44.974254,47.601645,48.170050,97.456183,
