Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,vmaf,
38,0.993855,0.988390,0.989110,0.994083,0.996626,0.775475,1.477428,0.887842,0.994090,0.997006,0.998042,46.617643,47.562982,47.900541,96.790919,
39,0.993455,0.987704,0.988645,0.994322,0.995861,0.775475,0.775475,0.883270,0.993695,0.996596,0.997535,46.402112,47.200812,47.691156,96.641952,
40,0.993756,0.987486,0.988525,0.994348,0.996611,0.763833,2.571862,0.886178,0.994281,0.997184,0.997951,46.543058,47.341962,47.870741,96.755182,
41,0.994171,0.987688,0.989709,0.994377,0.997053,0.763833,0.763833,0.888962,0.994576,0.997350,0.998143,46.716360,47.327696,47.773702,96.870260,
42,0.993454,0.986782,0.988210,0.993355,0.996880,1.237803,2.112758,0.882840,0.994348,0.997189,0.998058,46.379956,47.315180,47.804748,97.336372,
43,0.993556,0.988547,0.988939,0.993772,0.996187,1.151986,1.237803,0.885335,0.994017,0.996975,0.997739,46.508128,47.302134,47.659678,97.207001,
44,0.993627,0.987487,0.989383,0.993787,0.996404,0.816528,1.151986,0.884232,0.994090,0.996783,0.997975,46.434805,47.490220,47.900541,96.780715,
45,0.992958,0.987602,0.988385,0.993185,0.995628,0.816528,0.816528,0.884089,0.993842,0.996839,0.997929,46.436081,47.311773,47.754175,96.632308,
46,0.994034,0.987423,0.989074,0.994065,0.997256,1.093762,1.830254,0.882297,0.994073,0.996899,0.997805,46.366465,47.273345,47.580459,97.234390,
47,0.993533,0.987378,0.989338,0.993661,0.996300,1.093762,1.093762,0.881709,0.994216,0.997168,0.998352,46.298060,47.470746,47.798394,97.181381,
48,0.993624,0.988243,0.989404,0.993780,0.996202,1.487361,1.487361,0.886458,0.994428,0.997153,0.997990,46.574080,47.538991,48.011811,97.702635,
49,0.994099,0.988409,0.989046,0.994852,0.996634,0.819170,1.489912,0.887903,0.994608,0.997187,0.997958,46.645307,47.425061,47.962738,96.907287,
50,0.993700,0.987401,0.989255,0.993757,0.996640,0.819170,0.819170,0.885244,0.993943,0.996890,0.997906,46.510723,47.371787,47.785081,96.798836,
51,0.993883,0.988304,0.989792,0.994128,0.996414,2.090426,2.631266,0.888449,0.993764,0.996733,0.997698,46.668495,47.496731,47.830258,98.520068,
52,0.993977,0.988372,0.989832,0.994061,0.996656,1.036531,2.090426,0.886951,0.994419,0.997087,0.997865,46.626845,47.568398,47.998494,97.160887,
53,0.993755,0.988348,0.990036,0.994082,0.996076,1.036531,1.036531,0.885017,0.994362,0.997046,0.997967,46.528341,47.367185,47.941031,97.118072,
54,0.993985,0.988078,0.989039,0.994685,0.996569,1.132357,2.568333,0.887943,0.994341,0.997228,0.998212,46.656641,47.389665,47.820036,97.325618,
55,0.993814,0.987394,0.989607,0.994048,0.996574,1.132357,1.132357,0.886096,0.994141,0.996948,0.997853,46.616071,47.562380,47.908999,97.245593,
56,0.993820,0.989050,0.989444,0.993664,0.996565,2.323698,2.323698,0.888958,0.994795,0.997332,0.998046,46.761007,47.737238,48.066846,98.876761,
57,0.994440,0.988372,0.990085,0.994608,0.997200,2.968231,2.968231,0.891331,0.994745,0.997436,0.998273,46.871019,47.722239,48.029186,99.888919,
58,0.993786,0.988589,0.990345,0.993851,0.996077,2.394758,2.987564,0.891781,0.994605,0.997144,0.997899,46.930530,47.528835,48.008478,98.944201,
59,0.994286,0.988266,0.990254,0.994397,0.996887,2.192448,2.394758,0.894828,0.994758,0.997296,0.997994,47.078068,47.815571,48.107561,98.801487,
60,0.994228,0.988661,0.990055,0.994251,0.996802,2.192448,2.192448,0.893072,0.994768,0.997448,0.998214,47.009758,47.725984,48.304922,98.812457,
61,0.994054,0.987747,0.989830,0.994029,0.996799,1.668488,2.487815,0.886437,0.994443,0.997222,0.998143,46.680872,47.464274,47.786980,98.054493,
62,0.993914,0.988580,0.989127,0.993561,0.996868,1.668488,1.668488,0.886410,0.993866,0.996850,0.997768,46.695008,47.621107,47.932510,97.974282,
63,0.994077,0.988288,0.990244,0.994469,0.996329,1.629906,2.021967,0.890715,0.994904,0.997452,0.998178,46.960661,47.621716,48.107561,98.025017,
64,0.993898,0.988553,0.989395,0.993159,0.997084,1.629906,1.629906,0.888053,0.994695,0.997287,0.998062,46.816487,47.635760,48.050666,97.967302,
65,0.994121,0.988625,0.990456,0.994201,0.996514,1.959605,2.164083,0.888781,0.994331,0.997137,0.997869,46.882573,47.655990,48.138350,98.432637,
