Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
36,0.978518,0.960049,0.967168,0.979789,0.988331,4.252666,4.252666,0.659867,0.966159,0.982179,0.987795,37.895520,37.870210,40.103117,0.997397,96.318807,
37,0.978829,0.960510,0.967451,0.980705,0.988274,4.216132,4.528132,0.660572,0.966513,0.982409,0.988089,37.861445,37.850651,40.025766,0.997434,96.376813,
38,0.978621,0.960484,0.967619,0.980188,0.988064,4.216132,4.216132,0.660850,0.966544,0.982449,0.988079,37.896868,37.874663,40.090608,0.997421,96.332485,
39,0.978377,0.960167,0.967045,0.980312,0.987758,4.366410,4.366410,0.660118,0.966105,0.982049,0.987663,37.877283,37.876484,40.113409,0.997396,96.410383,
40,0.978308,0.960077,0.967860,0.979484,0.987993,4.252495,4.404760,0.660756,0.966426,0.982280,0.987981,37.878788,37.848504,40.044899,0.997430,96.293153,
41,0.978654,0.961291,0.967042,0.980551,0.988066,4.252495,4.252495,0.660150,0.966494,0.982369,0.987881,37.885033,37.841580,40.079776,0.997429,96.364594,
42,0.978499,0.961488,0.966838,0.981020,0.987356,4.352244,4.453195,0.661426,0.966307,0.982248,0.988007,37.897597,37.836749,40.027119,0.997444,96.456672,
43,0.978454,0.960468,0.967180,0.980002,0.987973,4.317799,4.352244,0.659945,0.966284,0.982259,0.988011,37.880122,37.866129,40.065159,0.997406,96.405655,
44,0.978757,0.961003,0.967440,0.980275,0.988273,4.317799,4.317799,0.660324,0.966445,0.982394,0.987982,37.875471,37.838301,40.074105,0.997444,96.475761,
45,0.978640,0.961209,0.967599,0.980713,0.987593,4.329440,4.403574,0.661546,0.966267,0.982327,0.988001,37.898199,37.852035,40.079531,0.997434,96.462307,
46,0.978784,0.961059,0.968406,0.980359,0.987901,4.296791,4.329440,0.661706,0.966326,0.982192,0.987852,37.906492,37.868683,40.073981,0.997437,96.436115,
47,0.978597,0.960475,0.967625,0.980399,0.987957,4.296791,4.296791,0.661779,0.966325,0.982225,0.987994,37.913205,37.886159,40.083203,0.997428,96.408131,
48,0.978993,0.960954,0.968400,0.980783,0.988072,4.303929,4.407040,0.660941,0.966084,0.982122,0.987836,37.885279,37.867220,40.052788,0.997428,96.484898,
49,0.978619,0.961413,0.966779,0.979979,0.988400,4.282989,4.303929,0.661139,0.966072,0.982134,0.987839,37.910923,37.884709,40.083616,0.997413,96.378831,
50,0.978278,0.960223,0.968195,0.980108,0.987291,4.282989,4.282989,0.660508,0.966429,0.982324,0.987691,37.877700,37.848940,40.060921,0.997429,96.302693,
51,0.978111,0.959745,0.967378,0.979871,0.987638,4.297048,4.297740,0.660707,0.966360,0.982276,0.987782,37.898187,37.848207,40.082901,0.997436,96.288400,
52,0.978333,0.960995,0.966789,0.980761,0.987470,4.297048,4.297048,0.660311,0.966350,0.982199,0.987699,37.869595,37.865923,40.067911,0.997421,96.326516,
53,0.977980,0.960221,0.966786,0.979888,0.987412,4.307144,4.307144,0.661385,0.966230,0.982266,0.987814,37.925768,37.866010,40.110625,0.997401,96.273642,
54,0.978785,0.960065,0.967784,0.980353,0.988608,4.347281,4.347281,0.661663,0.966671,0.982526,0.988100,37.899363,37.865822,40.061597,0.997427,96.533962,
55,0.979212,0.959959,0.967730,0.980581,0.989385,4.337226,4.352931,0.659877,0.966379,0.982358,0.987903,37.877525,37.838079,40.065080,0.997410,96.590341,
56,0.978673,0.961582,0.968447,0.979574,0.988004,4.337226,4.337226,0.660421,0.966504,0.982413,0.988039,37.874049,37.860482,40.073392,0.997449,96.486722,
57,0.978980,0.960964,0.968269,0.980058,0.988681,4.376933,4.376933,0.660456,0.966346,0.982214,0.987853,37.866532,37.832585,40.066710,0.997455,96.577627,
58,0.979189,0.962033,0.968421,0.980339,0.988621,4.410045,4.410045,0.660298,0.966448,0.982357,0.988002,37.872617,37.866028,40.049875,0.997428,96.682295,
59,0.979203,0.961560,0.968535,0.980503,0.988648,4.426474,4.503894,0.660857,0.966583,0.982331,0.987935,37.860433,37.849884,40.043988,0.997457,96.699322,
60,0.978916,0.961461,0.967120,0.980145,0.988738,4.426474,4.426474,0.661310,0.966308,0.982118,0.987874,37.900342,37.881089,40.060400,0.997466,96.621563,
61,0.978535,0.961113,0.966724,0.979771,0.988291,4.477408,4.477408,0.661467,0.966418,0.982374,0.987974,37.902174,37.865008,40.069640,0.997439,96.620377,
62,0.979019,0.960658,0.966786,0.980654,0.988848,4.526395,4.526395,0.660661,0.966283,0.982348,0.988164,37.871779,37.851693,40.070094,0.997478,96.798927,
63,0.978824,0.959895,0.966351,0.980255,0.989037,4.550384,4.569063,0.660820,0.966741,0.982551,0.988114,37.914607,37.874362,40.083203,0.997462,96.792391,
64,0.978278,0.960127,0.966210,0.979959,0.988201,4.440232,4.550384,0.660071,0.966322,0.982273,0.988007,37.877486,37.848508,40.051896,0.997430,96.516999,
65,0.978449,0.960461,0.967283,0.979989,0.988053,4.440232,4.440232,0.660079,0.966683,0.982713,0.988417,37.891900,37.862387,40.078693,0.997417,96.608029,
66,0.978224,0.960699,0.967331,0.979524,0.987773,4.486765,4.521574,0.660873,0.966541,0.982633,0.988400,37.879259,37.840122,40.076297,0.997440,96.610132,
67,0.978732,0.962016,0.968266,0.980081,0.987951,4.486765,4.486765,0.661350,0.966785,0.982660,0.988377,37.889840,37.833507,40.075010,0.997447,96.720974,
68,0.978557,0.961308,0.968140,0.979651,0.988106,4.490535,4.490535,0.660847,0.966878,0.982713,0.988455,37.894579,37.849290,40.037565,0.997491,96.696388,
69,0.978560,0.960916,0.967855,0.979640,0.988410,4.585436,4.585436,0.661243,0.967093,0.982774,0.988479,37.886133,37.840912,40.036808,0.997488,96.817869,
70,0.978593,0.960788,0.966442,0.980199,0.988457,4.600852,4.600852,0.659011,0.966043,0.982060,0.987983,37.885340,37.858185,40.058120,0.997416,96.768579,
71,0.978781,0.960874,0.967559,0.980729,0.988150,4.561555,4.710339,0.661449,0.966588,0.982479,0.988181,37.881847,37.824327,40.017745,0.997489,96.798166,
72,0.978356,0.961557,0.967812,0.979967,0.987355,4.506336,4.561555,0.660688,0.966272,0.982299,0.987859,37.895818,37.854270,40.043470,0.997451,96.603542,
73,0.978594,0.962014,0.967901,0.980122,0.987659,4.506336,4.506336,0.659107,0.966338,0.982366,0.988180,37.882212,37.836649,40.055770,0.997417,96.684326,
74,0.978533,0.961545,0.968577,0.979407,0.987828,4.612203,4.687213,0.658951,0.966412,0.982402,0.987991,37.885411,37.834013,40.082975,0.997427,96.786461,
75,0.978790,0.961592,0.967831,0.980351,0.987909,4.612203,4.612203,0.658852,0.966364,0.982382,0.987945,37.895752,37.858952,40.064350,0.997382,96.837799,
76,0.978953,0.961548,0.968187,0.979943,0.988456,5.012439,5.012439,0.658093,0.966293,0.982445,0.988191,37.901015,37.857453,40.055814,0.997366,97.379989,
77,0.978276,0.962438,0.967308,0.979538,0.987444,5.163393,5.163393,0.658969,0.966182,0.982159,0.987977,37.919382,37.834777,40.059777,0.997387,97.384415,
78,0.978247,0.961452,0.967369,0.980151,0.987054,5.416334,5.445758,0.657802,0.966401,0.982615,0.988415,37.910928,37.862257,40.071263,0.997364,97.737760,
79,0.978919,0.961923,0.967488,0.980841,0.988110,5.233166,5.416334,0.658544,0.966344,0.982379,0.988115,37.921907,37.832846,40.053986,0.997386,97.629635,
80,0.978834,0.962099,0.967250,0.981323,0.987590,5.233166,5.233166,0.657531,0.966336,0.982370,0.988053,37.898367,37.830739,40.049946,0.997365,97.605486,
81,0.978557,0.961428,0.968427,0.980214,0.987473,5.220864,5.343257,0.656500,0.965858,0.982156,0.988149,37.884200,37.847550,40.050389,0.997334,97.526726,
82,0.978976,0.961739,0.968264,0.980325,0.988432,5.220864,5.220864,0.657372,0.965959,0.982255,0.988174,37.916556,37.855542,40.079720,0.997330,97.624800,
83,0.978738,0.962461,0.967992,0.980228,0.987932,5.371129,5.371129,0.655851,0.965894,0.982215,0.987995,37.870652,37.816843,40.066104,0.997328,97.736803,
84,0.978396,0.962607,0.968052,0.980199,0.987152,5.394115,5.394115,0.655839,0.965959,0.982202,0.988094,37.888259,37.791603,40.054511,0.997324,97.697447,
85,0.978181,0.962255,0.967494,0.979950,0.987266,5.518686,5.518686,0.655296,0.966058,0.982183,0.987995,37.874661,37.780714,39.999432,0.997279,97.791196,
86,0.978853,0.962860,0.968190,0.980476,0.988016,5.570319,5.818387,0.654901,0.966213,0.982372,0.988136,37.834211,37.736585,39.910443,0.997303,98.019444,
87,0.978583,0.962201,0.967681,0.980795,0.987356,5.570319,5.570319,0.652698,0.966073,0.982302,0.987949,37.810798,37.748439,39.943517,0.997267,97.941515,
88,0.979057,0.962506,0.966619,0.980606,0.988824,5.984275,6.012452,0.652885,0.966143,0.982297,0.988099,37.838461,37.720828,39.915870,0.997254,98.549311,
89,0.978927,0.961456,0.966900,0.980378,0.988810,5.984275,5.984275,0.652022,0.966277,0.982480,0.988276,37.826991,37.726417,39.907514,0.997255,98.543395,
90,0.978764,0.961175,0.966641,0.980368,0.988740,6.005824,6.005824,0.650704,0.966047,0.982365,0.988274,37.803664,37.706891,39.956734,0.997216,98.526758,
91,0.978345,0.961983,0.966816,0.980395,0.987631,6.283409,6.283409,0.650938,0.965718,0.982230,0.988307,37.810951,37.681554,39.921113,0.997194,98.759069,
92,0.977679,0.959920,0.966389,0.979675,0.987497,6.524374,6.524374,0.648927,0.965925,0.982297,0.988359,37.784220,37.648436,39.905766,0.997224,98.904290,
93,0.978198,0.960426,0.966355,0.979956,0.988294,6.586943,6.863851,0.649208,0.965821,0.982103,0.987916,37.775206,37.626043,39.863564,0.997214,99.046282,
94,0.977731,0.960525,0.966091,0.979051,0.987917,6.586943,6.586943,0.647765,0.965834,0.982233,0.988261,37.759264,37.614611,39.850303,0.997152,98.977207,
95,0.977091,0.960799,0.965291,0.978250,0.987381,6.806458,6.806458,0.647226,0.965539,0.982044,0.987933,37.767596,37.589127,39.873920,0.997143,99.058229,
96,0.977335,0.960927,0.966074,0.978782,0.987443,6.721597,7.081063,0.646897,0.965376,0.981824,0.988025,37.733110,37.552058,39.824391,0.997158,99.009378,
97,0.977852,0.959314,0.965574,0.979761,0.988348,6.721597,6.721597,0.646094,0.965468,0.981993,0.987969,37.756390,37.568541,39.894349,0.997118,99.124710,
98,0.977983,0.959543,0.966029,0.979384,0.988820,6.857419,6.857419,0.645211,0.965576,0.982117,0.988070,37.729313,37.542071,39.854682,0.997102,99.325091,
99,0.978066,0.959566,0.965747,0.979717,0.988662,6.910892,6.910892,0.643986,0.965518,0.982035,0.988001,37.718653,37.557452,39.853393,0.997056,99.395243,
100,0.977715,0.959133,0.966073,0.979568,0.988198,6.767764,7.277912,0.644109,0.965782,0.982203,0.988060,37.681759,37.507292,39.813869,0.997101,99.165459,
101,0.977182,0.958655,0.965516,0.979836,0.987218,6.767764,6.767764,0.643473,0.965642,0.982057,0.987973,37.696659,37.483167,39.787933,0.997103,99.035059,
102,0.977343,0.958504,0.965393,0.978561,0.988626,7.050521,7.077435,0.641132,0.965341,0.981973,0.988113,37.665164,37.482946,39.781957,0.997032,99.403674,
103,0.977587,0.958653,0.965061,0.979587,0.988504,6.475636,7.050521,0.641747,0.965807,0.982256,0.988303,37.665537,37.455025,39.768458,0.997037,98.816889,
104,0.977189,0.958565,0.964979,0.978508,0.988397,6.475636,6.475636,0.641941,0.965174,0.981972,0.988045,37.681220,37.462391,39.730568,0.997028,98.694632,
105,0.977136,0.958989,0.965371,0.978838,0.987972,6.802963,7.105297,0.641237,0.965210,0.981817,0.987874,37.649713,37.437680,39.696164,0.997016,99.044606,
106,0.977746,0.958763,0.965049,0.978749,0.989217,6.802963,6.802963,0.640076,0.965407,0.982021,0.988059,37.623007,37.419320,39.699593,0.996981,99.201258,
107,0.977055,0.958311,0.964228,0.978997,0.988371,6.861193,6.861193,0.641144,0.965411,0.982038,0.988124,37.612225,37.421452,39.648859,0.997003,99.125210,
108,0.976995,0.957715,0.964541,0.978800,0.988286,6.686553,7.061534,0.640542,0.965551,0.982134,0.988205,37.613986,37.419107,39.638300,0.997045,98.919720,
109,0.976739,0.957726,0.963643,0.978405,0.988404,6.686553,6.686553,0.640149,0.965859,0.982332,0.988316,37.615316,37.443083,39.671174,0.997021,98.882353,
110,0.977060,0.957728,0.964693,0.979326,0.988076,6.571609,6.852252,0.641388,0.965486,0.981988,0.988171,37.607127,37.427089,39.667236,0.997056,98.790572,
111,0.976367,0.957240,0.964884,0.978788,0.987086,6.571609,6.571609,0.639088,0.965643,0.982127,0.988109,37.594381,37.396527,39.613314,0.996971,98.640252,
112,0.976105,0.957489,0.964487,0.977730,0.987502,7.060270,7.060270,0.638748,0.965196,0.981869,0.987965,37.576688,37.367326,39.570208,0.996947,99.126802,
113,0.977094,0.957634,0.964630,0.979946,0.987909,6.542835,7.073530,0.639414,0.965463,0.981982,0.988317,37.564230,37.313903,39.520453,0.997002,98.774692,
114,0.976141,0.957328,0.964126,0.978697,0.986969,6.542835,6.542835,0.636758,0.964863,0.981606,0.987826,37.536867,37.332265,39.528555,0.996919,98.507885,
115,0.976324,0.957538,0.964316,0.978639,0.987462,6.841133,7.047639,0.637340,0.964927,0.981765,0.988108,37.533367,37.320142,39.488622,0.996931,98.925395,
116,0.976330,0.957012,0.964551,0.979027,0.987036,6.690120,6.841133,0.637183,0.965289,0.981975,0.988126,37.529810,37.313400,39.484081,0.996945,98.762994,
117,0.976233,0.956154,0.963603,0.978990,0.987719,6.678362,6.690120,0.636473,0.965044,0.981706,0.987821,37.507862,37.288907,39.426597,0.996938,98.690610,
118,0.975823,0.956120,0.963439,0.978598,0.987192,6.547482,6.678362,0.636992,0.965204,0.981877,0.988058,37.497470,37.259885,39.413668,0.996945,98.476018,
119,0.976196,0.955924,0.963123,0.978009,0.988673,6.547482,6.547482,0.636395,0.965160,0.981890,0.988160,37.528821,37.299820,39.432845,0.996923,98.565509,
120,0.975881,0.956168,0.963354,0.978292,0.987435,6.404160,6.596601,0.636411,0.965036,0.981835,0.988076,37.500268,37.296806,39.440249,0.996929,98.319838,
121,0.975715,0.955963,0.963193,0.978255,0.987586,6.404160,6.404160,0.638147,0.965062,0.981714,0.987916,37.476880,37.232896,39.339377,0.996967,98.266232,
122,0.975892,0.956319,0.962683,0.978377,0.987843,6.789361,6.789361,0.637516,0.965217,0.981921,0.987935,37.505706,37.274515,39.375268,0.996925,98.765485,
123,0.975632,0.955658,0.962681,0.978348,0.987477,6.436520,6.791209,0.636528,0.965071,0.981806,0.987949,37.458095,37.204829,39.362238,0.996897,98.292173,
124,0.975450,0.956059,0.962895,0.977850,0.987290,6.436520,6.436520,0.636945,0.964892,0.981703,0.988091,37.472124,37.203411,39.318994,0.996920,98.258763,
125,0.975022,0.955304,0.963038,0.977361,0.987086,6.637302,6.637302,0.637241,0.965444,0.982147,0.988265,37.470469,37.207472,39.353642,0.996957,98.435986,
126,0.974820,0.954901,0.961927,0.977239,0.987103,6.749314,6.798575,0.638167,0.965149,0.981928,0.988350,37.484465,37.192823,39.360667,0.996976,98.519015,
127,0.974239,0.954307,0.961932,0.976717,0.986740,6.571453,6.749314,0.638540,0.965755,0.982368,0.988602,37.427841,37.108613,39.250616,0.997016,98.227437,
128,0.974102,0.954765,0.961020,0.975567,0.987478,6.418475,6.571453,0.637728,0.965441,0.982196,0.988391,37.442808,37.151186,39.289052,0.997006,97.992564,
129,0.974182,0.955041,0.961066,0.976893,0.986547,6.418475,6.418475,0.638924,0.965434,0.982103,0.988298,37.459799,37.137794,39.265027,0.996980,97.998865,
130,0.974289,0.954804,0.961226,0.976166,0.987167,6.424904,6.565057,0.638178,0.965194,0.981998,0.988204,37.445117,37.149258,39.304783,0.996954,98.016320,
131,0.974250,0.954507,0.962065,0.977526,0.985957,6.424904,6.424904,0.638653,0.965386,0.982060,0.988312,37.433438,37.127734,39.291940,0.996939,98.020289,
132,0.974302,0.954353,0.961000,0.977444,0.986664,6.123155,6.657275,0.636841,0.965161,0.981874,0.988117,37.438877,37.131996,39.283047,0.996926,97.651911,
133,0.974708,0.953791,0.961293,0.977204,0.987759,6.123155,6.123155,0.636842,0.964943,0.981768,0.988008,37.444117,37.151902,39.282612,0.996899,97.726111,
134,0.974706,0.954750,0.963025,0.977549,0.986528,6.204433,6.223815,0.638513,0.965303,0.982063,0.988272,37.430934,37.101889,39.242486,0.996908,97.857130,
135,0.973583,0.953672,0.961352,0.976669,0.985615,6.204433,6.204433,0.637154,0.964578,0.981550,0.987795,37.442565,37.135809,39.306823,0.996838,97.549017,
136,0.973793,0.954453,0.961818,0.976884,0.985838,6.263752,6.503900,0.639019,0.965293,0.981957,0.988115,37.434898,37.105293,39.250070,0.996939,97.711106,
137,0.973594,0.954225,0.961175,0.975601,0.986617,6.028029,6.263752,0.638862,0.965533,0.982136,0.988312,37.420545,37.093604,39.252497,0.996966,97.414983,
138,0.973157,0.953842,0.960212,0.975436,0.986104,5.987320,6.028029,0.638964,0.965138,0.981796,0.988015,37.428090,37.101899,39.212381,0.996972,97.231717,
139,0.973027,0.953968,0.959782,0.975963,0.985767,5.987320,5.987320,0.638174,0.965336,0.981970,0.988117,37.408277,37.114346,39.256963,0.996927,97.219757,
140,0.973361,0.953982,0.959928,0.976012,0.986354,5.792538,5.998427,0.638370,0.965213,0.981912,0.988186,37.406988,37.118088,39.266778,0.996966,97.064719,
141,0.972805,0.953465,0.960038,0.975752,0.985290,5.792538,5.792538,0.638805,0.965038,0.981767,0.987905,37.433917,37.123396,39.312340,0.996946,96.914501,
142,0.973419,0.954160,0.960623,0.976148,0.986087,5.669427,5.863647,0.639458,0.965244,0.981944,0.987986,37.421088,37.106298,39.250894,0.996965,96.917043,
143,0.973459,0.954296,0.960097,0.976418,0.986300,5.509978,5.669427,0.639141,0.965120,0.981733,0.987935,37.410046,37.089129,39.217462,0.996923,96.722590,
144,0.973855,0.954996,0.961094,0.977268,0.986135,5.468729,5.509978,0.639498,0.965338,0.981977,0.987978,37.396047,37.066050,39.183209,0.996971,96.774641,
145,0.972770,0.954320,0.960816,0.975463,0.985019,5.468729,5.468729,0.638667,0.965455,0.982015,0.988177,37.411363,37.076824,39.246963,0.996956,96.556671,
146,0.972438,0.953900,0.960699,0.975284,0.984786,5.579163,5.678803,0.638317,0.964934,0.981685,0.987650,37.383324,37.060787,39.230134,0.996948,96.556994,
147,0.972141,0.954212,0.960792,0.974594,0.984282,5.524725,5.579163,0.638529,0.965173,0.981764,0.987750,37.394555,37.092109,39.223084,0.996976,96.440236,
148,0.972441,0.953885,0.960701,0.974861,0.984993,5.524725,5.524725,0.638681,0.965287,0.981809,0.987953,37.394419,37.080420,39.214140,0.996941,96.524072,
149,0.972001,0.953361,0.959663,0.974345,0.985031,5.305277,5.654541,0.638694,0.965036,0.981561,0.987459,37.419494,37.102524,39.226494,0.996947,96.115469,
150,0.971661,0.953449,0.960822,0.974263,0.983598,5.253404,5.305277,0.637915,0.964696,0.981332,0.987502,37.396595,37.091661,39.254775,0.996946,95.971943,
151,0.972027,0.954097,0.960848,0.974938,0.983947,5.026001,5.253404,0.639025,0.965071,0.981660,0.987639,37.385768,37.118709,39.248472,0.996999,95.806207,
152,0.971740,0.953933,0.960576,0.974399,0.983864,5.026001,5.026001,0.638866,0.965436,0.981957,0.987963,37.366172,37.093903,39.220979,0.997004,95.784281,
153,0.971560,0.953522,0.959852,0.974410,0.983841,4.938792,5.104186,0.637920,0.965116,0.981770,0.987978,37.382464,37.095544,39.219586,0.996968,95.632490,
154,0.971676,0.954008,0.960235,0.974769,0.983559,4.938792,4.938792,0.638921,0.965094,0.981681,0.987874,37.350834,37.046492,39.199216,0.996971,95.645011,
155,0.971301,0.953026,0.959396,0.974707,0.983257,5.152715,5.152715,0.638476,0.964998,0.981603,0.987773,37.372660,37.053157,39.221245,0.996948,95.808226,
156,0.972155,0.953632,0.960830,0.975703,0.983878,5.223903,5.223903,0.639767,0.965442,0.981914,0.988031,37.357623,37.044880,39.209826,0.997011,96.114801,
157,0.971890,0.953407,0.960123,0.975190,0.983851,5.279253,5.279253,0.639604,0.965475,0.981986,0.988172,37.377097,37.095919,39.269161,0.997006,96.137892,
158,0.972070,0.953916,0.960583,0.975376,0.983836,5.285892,5.285892,0.639486,0.965343,0.981757,0.987878,37.355763,37.056777,39.247458,0.997037,96.150890,
159,0.972251,0.954216,0.960629,0.975018,0.984466,5.151604,5.463030,0.640214,0.965304,0.981861,0.988050,37.380349,37.075517,39.249450,0.997041,96.047833,
160,0.972090,0.953301,0.959979,0.974701,0.984714,4.956886,5.151604,0.638198,0.964694,0.981412,0.987699,37.363670,37.100182,39.320337,0.996965,95.729350,
161,0.972853,0.953928,0.961682,0.975016,0.985401,4.764907,4.956886,0.639811,0.965332,0.981806,0.987801,37.362031,37.071945,39.282010,0.997025,95.692043,
162,0.972260,0.953995,0.961147,0.974576,0.984486,4.764907,4.764907,0.639032,0.965469,0.982037,0.988159,37.362817,37.118312,39.313095,0.997028,95.602869,
163,0.972399,0.953826,0.961555,0.974464,0.984812,4.840981,5.027602,0.640365,0.965873,0.982269,0.988253,37.348193,37.066495,39.250311,0.997091,95.743633,
