Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.949088,0.925635,0.926728,0.950350,0.966654,0.000000,0.000000,0.493954,0.859394,0.917849,0.945721,33.089150,30.984985,35.980265,0.987886,78.898101,
1,0.949122,0.926160,0.926701,0.950213,0.966613,4.143696,4.183528,0.495068,0.860484,0.918886,0.946645,33.117318,32.319118,34.871726,0.987908,83.909905,
2,0.949323,0.925996,0.925509,0.951296,0.966801,4.143696,4.143696,0.494534,0.860873,0.919147,0.946466,33.073860,31.220860,35.564164,0.987984,83.949744,
3,0.949151,0.926525,0.924426,0.951520,0.966486,4.176044,4.234938,0.495354,0.860686,0.919008,0.946441,33.092180,31.039731,35.474977,0.988019,83.942023,
4,0.950183,0.927431,0.925628,0.951172,0.968556,4.176044,4.176044,0.495274,0.861185,0.919757,0.946775,33.121837,31.293823,35.901612,0.988005,84.216859,
5,0.949402,0.925894,0.922798,0.951499,0.967953,4.221173,4.221173,0.495953,0.861662,0.920029,0.946921,33.130145,31.442575,35.130495,0.988047,84.124176,
6,0.950443,0.925281,0.927135,0.950821,0.969313,4.190485,4.228703,0.495179,0.861132,0.919161,0.946312,33.083831,30.001864,34.889059,0.988026,84.228720,
7,0.949099,0.925801,0.924790,0.949999,0.967310,4.190485,4.190485,0.496040,0.860774,0.919184,0.946367,33.167971,30.143302,33.708802,0.987965,83.947794,
8,0.950132,0.925564,0.925830,0.950867,0.969216,4.246238,4.311579,0.494638,0.861167,0.919934,0.947421,33.059174,31.289681,35.262846,0.988107,84.344981,
9,0.950127,0.926837,0.927183,0.951654,0.967443,4.246238,4.246238,0.495065,0.861215,0.919178,0.945812,33.111760,31.967692,35.323739,0.987859,84.188140,
10,0.950477,0.926133,0.924760,0.953484,0.968106,4.258768,4.258768,0.495560,0.861041,0.919214,0.946663,33.115838,31.143280,36.340390,0.988053,84.343262,
11,0.950005,0.926164,0.925192,0.952515,0.967499,4.252124,4.331033,0.494787,0.860028,0.918333,0.945714,33.078774,30.026036,36.481478,0.988019,84.128349,
12,0.949947,0.926494,0.924642,0.952437,0.967548,4.252124,4.252124,0.495286,0.859719,0.917953,0.944976,33.130329,31.387949,35.793040,0.987837,84.043079,
13,0.951588,0.926847,0.926606,0.953214,0.970417,4.230080,4.309847,0.494579,0.861255,0.919452,0.946205,33.081002,29.261743,35.468522,0.988030,84.521633,
14,0.951172,0.926664,0.927120,0.953961,0.968406,4.230080,4.230080,0.494956,0.860256,0.918570,0.945264,33.120549,31.849310,35.655909,0.987824,84.324799,
15,0.950711,0.928309,0.928545,0.953258,0.966622,4.266311,4.266311,0.493751,0.860600,0.918796,0.945574,33.081326,30.574215,36.322065,0.987818,84.303708,
16,0.950336,0.926925,0.927395,0.950723,0.968689,4.177805,4.289475,0.495074,0.859914,0.917995,0.945106,33.135754,30.093079,35.557995,0.987665,84.051689,
17,0.949999,0.926161,0.925776,0.951389,0.968249,4.177805,4.177805,0.494397,0.859316,0.917831,0.944824,33.113931,31.599392,35.608606,0.987610,83.953394,
18,0.950560,0.925580,0.926241,0.953132,0.968217,4.277810,4.289626,0.495842,0.860585,0.918808,0.945570,33.129344,30.326609,35.710002,0.987829,84.281722,
19,0.949472,0.926738,0.925841,0.952413,0.965775,4.277810,4.277810,0.496060,0.860213,0.918375,0.945956,33.163161,31.707415,35.873316,0.987792,84.063265,
20,0.950616,0.926486,0.929695,0.950949,0.968305,4.225203,4.298135,0.495632,0.860592,0.918700,0.946232,33.106924,32.448043,35.808252,0.987959,84.279915,
21,0.950717,0.926750,0.928878,0.952232,0.967785,4.225203,4.225203,0.494750,0.860709,0.919257,0.946747,33.103066,31.216568,35.041558,0.987791,84.365183,
22,0.950015,0.923961,0.926407,0.951810,0.968367,4.313762,4.372040,0.495688,0.860989,0.919497,0.946390,33.118707,29.713663,35.894447,0.988171,84.299031,
23,0.950104,0.927639,0.927892,0.953082,0.965769,4.313762,4.313762,0.496038,0.861603,0.919271,0.945997,33.117182,32.106513,35.722521,0.987970,84.277481,
24,0.950689,0.925225,0.927857,0.952366,0.968505,4.266847,4.331925,0.496549,0.861643,0.919722,0.946456,33.099613,31.365338,35.534585,0.988067,84.400421,
25,0.949302,0.925107,0.926242,0.951330,0.966363,4.266847,4.266847,0.495283,0.860895,0.919459,0.946291,33.095785,30.474515,35.226419,0.988019,84.085356,
26,0.951266,0.928409,0.926871,0.953338,0.968659,4.299096,4.392347,0.495630,0.861911,0.920286,0.947850,33.065398,30.484407,36.114392,0.988135,84.692027,
27,0.949512,0.927425,0.924644,0.952556,0.966314,4.299096,4.299096,0.494365,0.860701,0.919207,0.945605,33.038013,30.788837,35.749773,0.988015,84.105384,
28,0.950403,0.927061,0.925345,0.952422,0.968592,4.295869,4.379281,0.495765,0.861269,0.919820,0.946768,33.087249,30.758294,36.411934,0.988163,84.402806,
29,0.949881,0.925961,0.926617,0.951369,0.967884,4.295869,4.295869,0.495553,0.862493,0.920211,0.946393,33.076186,32.308374,36.107992,0.988234,84.278688,
30,0.949424,0.927576,0.924829,0.952283,0.966343,4.359880,4.380836,0.496959,0.861484,0.919751,0.947191,33.145072,30.943732,35.253885,0.988198,84.296721,
31,0.949426,0.924603,0.925804,0.951673,0.967480,4.318992,4.359880,0.495753,0.861865,0.920148,0.946973,33.102485,29.807201,35.558184,0.988067,84.251188,
32,0.948981,0.923472,0.924699,0.951839,0.966855,4.238091,4.318992,0.493668,0.860773,0.919228,0.946147,33.063488,30.994926,35.382921,0.987812,83.966358,
33,0.950593,0.924850,0.927673,0.953418,0.967730,4.238091,4.238091,0.495321,0.860737,0.919289,0.946149,33.113362,29.822405,35.470240,0.987911,84.308050,
34,0.950836,0.927271,0.929089,0.952528,0.967506,4.321673,4.336400,0.496546,0.861292,0.919436,0.946050,33.134242,31.330233,36.281832,0.987971,84.451950,
