Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.856930,0.843606,0.804697,0.849666,0.894341,0.000000,0.000000,0.263133,0.533847,0.635172,0.716571,26.684589,22.815373,28.694620,0.912125,41.140761,
1,0.859166,0.850565,0.803850,0.854258,0.894505,4.143696,4.183528,0.264688,0.536346,0.638381,0.719594,26.716257,22.535712,28.425544,0.913337,45.746742,
2,0.857728,0.850828,0.797201,0.852631,0.895194,4.143696,4.143696,0.263488,0.536441,0.638423,0.719839,26.657838,22.381178,28.553781,0.912740,45.504595,
3,0.857313,0.851267,0.802935,0.851718,0.891712,4.176044,4.234938,0.264625,0.535599,0.637335,0.719449,26.684663,22.625348,28.742938,0.914792,45.424022,
4,0.858526,0.852385,0.804512,0.853188,0.892378,4.176044,4.176044,0.266032,0.535769,0.636975,0.716071,26.739841,22.503082,28.619336,0.915311,45.436731,
5,0.859749,0.850617,0.808628,0.853770,0.893223,4.221173,4.221173,0.266070,0.534704,0.635859,0.714832,26.728424,22.595975,29.376821,0.914641,45.630844,
6,0.860264,0.846058,0.799763,0.857993,0.896983,4.190485,4.228703,0.265792,0.533605,0.632614,0.713261,26.706101,22.794196,28.685676,0.914720,45.562176,
7,0.857252,0.849770,0.804849,0.849506,0.892140,4.190485,4.190485,0.267399,0.533855,0.634546,0.714916,26.813343,22.963017,29.310226,0.914427,45.130942,
8,0.860094,0.847547,0.804441,0.856129,0.895693,4.246238,4.311579,0.264352,0.535723,0.635880,0.713749,26.631288,22.957373,29.316850,0.914622,45.649324,
9,0.862930,0.850323,0.807715,0.862791,0.895002,4.246238,4.246238,0.265425,0.535802,0.636559,0.713637,26.700003,22.684708,28.712115,0.914339,46.167215,
