Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.909077,0.886661,0.872361,0.909631,0.934397,0.000000,0.000000,0.367360,0.701404,0.794874,0.854194,29.568019,25.148194,29.463703,0.963600,60.804701,
1,0.910108,0.889799,0.874751,0.908474,0.935827,4.143696,4.183528,0.368033,0.701841,0.795640,0.854629,29.590529,25.571859,29.979897,0.963909,65.568624,
2,0.909752,0.886886,0.869919,0.908276,0.938263,4.143696,4.143696,0.366860,0.700256,0.793535,0.852803,29.523506,25.294034,30.199294,0.963549,65.319322,
3,0.911234,0.892197,0.870798,0.909986,0.938637,4.176044,4.234938,0.367553,0.701918,0.795441,0.854076,29.558658,25.397861,30.398046,0.964119,65.785583,
4,0.910332,0.889898,0.869516,0.911142,0.936457,4.176044,4.176044,0.368397,0.702035,0.795474,0.853698,29.602406,25.951725,30.181668,0.964101,65.575152,
5,0.911341,0.889734,0.870215,0.910099,0.939459,4.221173,4.221173,0.368206,0.700497,0.794465,0.853123,29.585974,25.663489,30.238770,0.963576,65.766740,
6,0.911100,0.887720,0.868905,0.911658,0.938873,4.190485,4.228703,0.368349,0.701887,0.795144,0.853571,29.560339,25.287643,30.317906,0.964054,65.726649,
7,0.911579,0.889830,0.872229,0.909311,0.939514,4.190485,4.190485,0.369459,0.701937,0.795772,0.854200,29.657490,25.316324,30.145581,0.963597,65.882570,
8,0.910971,0.888038,0.871446,0.910178,0.938676,4.246238,4.311579,0.366701,0.701041,0.795049,0.853423,29.499647,24.450666,30.340440,0.963582,65.760307,
9,0.912688,0.888927,0.871448,0.912086,0.941315,4.246238,4.246238,0.367648,0.701203,0.794947,0.853604,29.565857,25.347444,30.590057,0.963728,66.109417,
10,0.911501,0.891384,0.869166,0.913461,0.937212,4.258768,4.258768,0.369429,0.701697,0.795357,0.854084,29.598219,24.805278,29.607913,0.963729,65.920541,
11,0.912674,0.889521,0.872107,0.913225,0.939669,4.252124,4.331033,0.369137,0.700751,0.793957,0.852947,29.555841,25.227481,29.673571,0.964115,66.033071,
12,0.909666,0.889726,0.867123,0.907877,0.938646,4.252124,4.252124,0.368465,0.700505,0.793597,0.850735,29.591018,25.378771,30.243557,0.963791,65.269067,
13,0.912125,0.891130,0.871758,0.911790,0.939444,4.230080,4.309847,0.368361,0.701324,0.794508,0.852656,29.555072,25.437559,30.034730,0.963878,65.895081,
14,0.911565,0.890398,0.873706,0.911251,0.937564,4.230080,4.230080,0.368389,0.702248,0.794728,0.852161,29.593322,24.662788,30.038211,0.963763,65.747618,
15,0.911481,0.892267,0.875386,0.910063,0.937022,4.266311,4.266311,0.367556,0.700207,0.792918,0.850318,29.556866,24.825235,30.058442,0.963086,65.602914,
16,0.912318,0.889538,0.876252,0.911251,0.938454,4.177805,4.289475,0.368698,0.702329,0.795601,0.853482,29.614746,24.688889,30.495397,0.963619,65.961482,
17,0.912751,0.890218,0.872924,0.911796,0.940579,4.177805,4.177805,0.368822,0.702798,0.795279,0.851655,29.609620,25.620932,30.334656,0.963206,65.906659,
18,0.911885,0.891564,0.874516,0.910863,0.937937,4.277810,4.289626,0.368523,0.700759,0.794499,0.853760,29.591314,25.822244,30.401585,0.963354,65.978644,
19,0.910988,0.888871,0.872870,0.911897,0.936264,4.277810,4.277810,0.369019,0.700302,0.793644,0.852898,29.626693,25.016629,30.575496,0.963167,65.712761,
20,0.911180,0.890050,0.873641,0.910576,0.937392,4.225203,4.298135,0.368072,0.701329,0.795620,0.855939,29.553512,25.142263,30.201014,0.963553,65.965710,
21,0.911427,0.886183,0.876886,0.910101,0.937840,4.225203,4.225203,0.367993,0.701311,0.794969,0.855409,29.572004,25.761610,29.972108,0.963918,65.957449,
