Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.807159,0.841631,0.756414,0.800567,0.828840,0.000000,0.000000,0.191073,0.413649,0.511050,0.600783,24.801330,30.782640,35.631599,0.830993,28.599142,
1,0.807435,0.844868,0.749941,0.796363,0.835450,4.143696,4.183528,0.191345,0.412575,0.510629,0.602987,24.796529,30.772247,35.532854,0.830623,32.350254,
2,0.803995,0.844343,0.738332,0.798596,0.830265,4.143696,4.143696,0.190745,0.413674,0.512142,0.604211,24.736416,30.724643,35.476729,0.832283,31.830311,
3,0.805175,0.840914,0.742278,0.795219,0.835262,4.176044,4.234938,0.192519,0.415649,0.514095,0.603825,24.785495,30.705632,35.500919,0.833190,31.986292,
4,0.806832,0.845220,0.743356,0.796062,0.836993,4.176044,4.176044,0.191342,0.411719,0.509203,0.598614,24.790326,30.737831,35.524351,0.831982,32.100906,
5,0.807306,0.846310,0.748179,0.793581,0.837190,4.221173,4.221173,0.192983,0.414688,0.513160,0.604400,24.820097,30.773028,35.452443,0.832530,32.412630,
6,0.807835,0.842152,0.751670,0.795910,0.836183,4.190485,4.228703,0.192705,0.414940,0.513533,0.602619,24.783311,30.752900,35.420202,0.833891,32.394992,
7,0.807331,0.844018,0.743821,0.795559,0.838306,4.190485,4.190485,0.192222,0.411755,0.509570,0.601245,24.844250,30.765791,35.479618,0.831521,32.303452,
8,0.808180,0.841786,0.751535,0.794429,0.838968,4.246238,4.311579,0.191323,0.413133,0.511105,0.602803,24.738474,30.690823,35.504377,0.834312,32.543783,
9,0.812539,0.846456,0.758140,0.801007,0.840159,4.246238,4.246238,0.192009,0.412227,0.509483,0.599915,24.790423,30.706689,35.462898,0.832789,33.137314,
10,0.812586,0.846993,0.753694,0.800306,0.842857,4.258768,4.258768,0.192488,0.411407,0.507952,0.596219,24.798235,30.706461,35.393826,0.833700,32.999928,
