Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.905694,0.893665,0.873989,0.902786,0.928289,0.000000,0.000000,0.342643,0.664772,0.763468,0.828537,29.111425,32.488371,36.565662,0.951783,57.907433,
1,0.905281,0.895380,0.873749,0.900047,0.929018,4.143696,4.183528,0.342804,0.665104,0.763892,0.830077,29.108045,32.478208,36.608965,0.951460,62.362606,
2,0.904637,0.892839,0.870953,0.900914,0.928619,4.143696,4.143696,0.342432,0.666436,0.764845,0.832275,29.058872,32.438636,36.522470,0.952178,62.400161,
3,0.905453,0.896079,0.871712,0.902261,0.928229,4.176044,4.234938,0.343288,0.664924,0.763180,0.830545,29.090888,32.464930,36.537696,0.952443,62.440079,
4,0.906449,0.897267,0.873468,0.903756,0.928238,4.176044,4.176044,0.344405,0.665646,0.763218,0.827536,29.128238,32.447762,36.587071,0.952492,62.424138,
5,0.906446,0.896646,0.871048,0.901510,0.931312,4.221173,4.221173,0.343939,0.665882,0.763769,0.829620,29.118903,32.475927,36.540034,0.952218,62.627489,
6,0.906651,0.893090,0.875104,0.898270,0.933589,4.190485,4.228703,0.343933,0.666537,0.764782,0.829329,29.084916,32.467304,36.519895,0.952923,62.640697,
7,0.906155,0.894874,0.872241,0.899225,0.932197,4.190485,4.190485,0.343855,0.664706,0.762679,0.828083,29.160894,32.521702,36.516527,0.952488,62.413445,
8,0.907348,0.893424,0.871987,0.904341,0.932136,4.246238,4.311579,0.343590,0.665875,0.763315,0.828818,29.061948,32.407766,36.496560,0.953523,62.766143,
9,0.906380,0.895562,0.873923,0.902887,0.929155,4.246238,4.246238,0.342918,0.663419,0.761782,0.828614,29.090345,32.432201,36.559169,0.952436,62.541839,
10,0.906828,0.896813,0.872967,0.902310,0.930824,4.258768,4.258768,0.342864,0.663889,0.761295,0.825440,29.089063,32.417669,36.554208,0.952380,62.411295,
11,0.907008,0.894933,0.872741,0.903727,0.930838,4.252124,4.331033,0.344277,0.666412,0.764447,0.828816,29.107596,32.402480,36.567199,0.952808,62.731424,
