Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
36,0.669398,0.795739,0.565917,0.656655,0.694911,4.252666,4.252666,0.107392,0.247061,0.324330,0.407448,22.154065,30.385917,35.347691,0.650238,12.794106,
37,0.685728,0.793608,0.569134,0.675646,0.721235,4.216132,4.528132,0.106407,0.247672,0.325175,0.408256,22.031849,30.334269,35.280779,0.652562,14.806834,
38,0.676343,0.794335,0.565387,0.670583,0.702480,4.216132,4.216132,0.107682,0.249695,0.328097,0.415284,22.107904,30.318748,35.272781,0.655631,13.645033,
39,0.685747,0.796557,0.562892,0.667716,0.730722,4.366410,4.366410,0.108568,0.248485,0.324997,0.410565,22.109073,30.316427,35.266302,0.654483,14.904387,
40,0.671656,0.797002,0.548169,0.664635,0.703594,4.252495,4.404760,0.107843,0.248566,0.325514,0.411114,22.054202,30.291780,35.184044,0.652467,13.067970,
41,0.679517,0.796487,0.567333,0.672044,0.708266,4.252495,4.252495,0.108843,0.248454,0.324368,0.406199,22.128361,30.282804,35.306023,0.653317,13.957141,
42,0.674357,0.791013,0.573637,0.659934,0.703535,4.352244,4.453195,0.109497,0.251080,0.326196,0.406885,22.085200,30.268172,35.159288,0.657597,13.266479,
43,0.672941,0.794952,0.563411,0.645236,0.715441,4.317799,4.352244,0.110103,0.252189,0.329369,0.414892,22.151592,30.326885,35.381166,0.656998,13.143824,
44,0.679463,0.792438,0.571107,0.649325,0.725523,4.317799,4.317799,0.109092,0.252473,0.331036,0.420557,22.107577,30.299933,35.368541,0.656322,14.064913,
45,0.671603,0.785025,0.558335,0.647050,0.716390,4.329440,4.403574,0.108287,0.253056,0.331429,0.415961,22.079401,30.319341,35.431873,0.659360,12.976208,
46,0.675526,0.793341,0.559682,0.659218,0.713357,4.296791,4.329440,0.109745,0.253515,0.331696,0.415792,22.115766,30.370269,35.403538,0.657777,13.403814,
47,0.681038,0.799766,0.565975,0.660502,0.721971,4.296791,4.296791,0.109575,0.252705,0.330921,0.414965,22.143670,30.336351,35.468029,0.659565,14.121988,
48,0.690188,0.797588,0.569760,0.667898,0.738275,4.303929,4.407040,0.109589,0.254750,0.334068,0.420019,22.129851,30.326327,35.408887,0.660600,15.290716,
49,0.685962,0.803027,0.569120,0.672083,0.721639,4.282989,4.303929,0.109961,0.255105,0.334147,0.417688,22.169392,30.353495,35.417878,0.662855,14.668624,
50,0.686132,0.797078,0.574226,0.666923,0.727213,4.282989,4.282989,0.109677,0.253195,0.330036,0.412757,22.114793,30.315352,35.329676,0.658283,14.699008,
51,0.673855,0.794826,0.567481,0.656306,0.707699,4.297048,4.297740,0.109306,0.251766,0.328784,0.411191,22.138829,30.293854,35.379397,0.657741,13.202162,
52,0.682664,0.789199,0.570969,0.677341,0.712881,4.297048,4.297048,0.107169,0.248014,0.324586,0.409121,22.098549,30.292440,35.353960,0.653588,14.476124,
53,0.677958,0.797624,0.563417,0.664045,0.713155,4.307144,4.307144,0.108501,0.248876,0.324837,0.408740,22.148035,30.345211,35.457415,0.654651,13.832354,
54,0.680915,0.794351,0.544756,0.673444,0.723445,4.347281,4.347281,0.108066,0.250259,0.326258,0.409953,22.067210,30.302786,35.300383,0.656270,14.193831,
55,0.682345,0.798203,0.562957,0.657434,0.729335,4.337226,4.352931,0.108944,0.249854,0.326241,0.405448,22.137984,30.340688,35.376661,0.654434,14.285237,
56,0.685118,0.789762,0.562224,0.657954,0.738691,4.337226,4.337226,0.107485,0.247285,0.323274,0.403636,22.084342,30.326691,35.346231,0.652384,14.743099,
