Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.965811,0.946728,0.952435,0.967322,0.977185,0.000000,0.000000,0.566522,0.918003,0.955086,0.970929,35.240072,36.021311,38.742350,0.993288,85.777033,
1,0.965671,0.947351,0.950943,0.966351,0.978158,4.143696,4.183528,0.567775,0.917748,0.955085,0.970678,35.267058,35.992714,38.743585,0.993309,90.776946,
2,0.966028,0.946559,0.950608,0.967079,0.978840,4.143696,4.143696,0.567579,0.918002,0.954976,0.970284,35.233569,36.005419,38.698964,0.993371,90.818544,
3,0.966026,0.946315,0.950777,0.967468,0.978443,4.176044,4.234938,0.568065,0.917798,0.954837,0.970694,35.252136,36.018250,38.689826,0.993418,90.882393,
4,0.965998,0.946469,0.950928,0.966199,0.979257,4.176044,4.176044,0.567717,0.917716,0.955076,0.971039,35.265163,36.012564,38.704812,0.993391,90.913953,
5,0.966223,0.947515,0.950150,0.966745,0.979379,4.221173,4.221173,0.568764,0.917182,0.954457,0.970196,35.280194,36.021034,38.685795,0.993362,90.920947,
6,0.966255,0.945434,0.951379,0.966894,0.979362,4.190485,4.228703,0.568521,0.918616,0.955126,0.970490,35.258575,35.998533,38.692506,0.993513,90.946031,
7,0.966242,0.946660,0.951166,0.966606,0.979189,4.190485,4.190485,0.568242,0.918143,0.954894,0.970504,35.302967,36.010706,38.729454,0.993454,90.933930,
8,0.966149,0.946484,0.950888,0.966994,0.979059,4.246238,4.311579,0.568127,0.917757,0.954768,0.970192,35.233104,35.992647,38.703605,0.993445,90.949268,
9,0.966315,0.947416,0.952016,0.967106,0.978542,4.246238,4.246238,0.567355,0.917261,0.954483,0.970319,35.248994,35.996555,38.700412,0.993357,90.982696,
10,0.966560,0.946908,0.951205,0.968520,0.978450,4.258768,4.258768,0.568053,0.918420,0.955027,0.970598,35.269521,35.981147,38.722441,0.993472,91.096957,
11,0.966306,0.946990,0.949817,0.968007,0.978928,4.252124,4.331033,0.567519,0.917113,0.954395,0.970234,35.236084,35.994001,38.679825,0.993289,90.976836,
12,0.966446,0.946889,0.951706,0.968212,0.978167,4.252124,4.252124,0.567247,0.917416,0.954487,0.969795,35.262656,36.005392,38.709278,0.993321,90.976920,
13,0.965651,0.947167,0.951438,0.967043,0.977274,4.230080,4.309847,0.566565,0.917221,0.954597,0.970272,35.222474,35.997335,38.710796,0.993301,90.822309,
14,0.967100,0.947245,0.952491,0.969336,0.978579,4.230080,4.230080,0.567059,0.916888,0.954118,0.969679,35.256232,36.006785,38.718487,0.993241,91.065636,
15,0.966449,0.947407,0.952312,0.968107,0.977978,4.266311,4.266311,0.565531,0.917006,0.954296,0.969899,35.208431,35.978234,38.700876,0.993178,90.995229,
16,0.966809,0.947333,0.952254,0.967785,0.979199,4.177805,4.289475,0.567136,0.916852,0.954371,0.970123,35.272201,36.026624,38.710318,0.993141,90.986935,
17,0.966700,0.947536,0.952293,0.967500,0.979049,4.177805,4.177805,0.566796,0.916884,0.954505,0.970505,35.264145,35.995291,38.749952,0.993179,90.999715,
18,0.966805,0.947065,0.952415,0.967420,0.979486,4.277810,4.289626,0.567515,0.917328,0.954722,0.970443,35.263953,35.998715,38.710421,0.993230,91.145492,
19,0.966236,0.946684,0.951984,0.967679,0.978071,4.277810,4.277810,0.567373,0.916885,0.954262,0.970595,35.281126,35.973125,38.720327,0.993191,91.014735,
