Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.689205,0.745817,0.600378,0.624937,0.773952,0.000000,0.000000,0.134594,0.326652,0.438999,0.500613,20.263539,26.210183,28.527261,0.749441,10.627973,
1,0.694391,0.748787,0.607381,0.629328,0.779076,4.143696,4.183528,0.134492,0.324674,0.437418,0.499728,20.293449,26.188024,28.456967,0.749995,14.457280,
2,0.692013,0.747341,0.599624,0.631024,0.775129,4.143696,4.143696,0.134569,0.327352,0.441064,0.502928,20.280618,26.113694,28.345793,0.749799,14.127524,
3,0.687223,0.751262,0.602157,0.621220,0.768260,4.176044,4.234938,0.135707,0.328562,0.440862,0.499804,20.248070,26.118220,28.369007,0.751641,13.345762,
4,0.688792,0.751450,0.602071,0.623376,0.769981,4.176044,4.176044,0.136809,0.328876,0.441612,0.501643,20.324943,26.111238,28.481166,0.752422,13.591633,
5,0.691297,0.750856,0.608489,0.621997,0.773739,4.221173,4.221173,0.136398,0.325966,0.437287,0.496125,20.339751,26.099860,28.442169,0.751303,13.917983,
6,0.684605,0.745542,0.608311,0.610838,0.766831,4.190485,4.228703,0.135147,0.323569,0.434880,0.494209,20.258572,26.124659,28.488502,0.751150,13.024710,
7,0.691555,0.746358,0.604642,0.617527,0.780721,4.190485,4.190485,0.137628,0.330348,0.442915,0.504624,20.374867,26.145544,28.568243,0.756428,14.010398,
8,0.681025,0.746770,0.601629,0.615928,0.757491,4.246238,4.311579,0.133689,0.323963,0.434868,0.493380,20.206051,26.113798,28.605461,0.751216,12.558936,
9,0.688960,0.752217,0.604529,0.620943,0.771496,4.246238,4.246238,0.134557,0.324681,0.437215,0.496920,20.285966,26.100258,28.579809,0.751167,13.705586,
10,0.688756,0.748836,0.604658,0.619746,0.772912,4.258768,4.258768,0.134626,0.325404,0.438442,0.499131,20.305652,26.104387,28.472009,0.751904,13.724387,
11,0.689210,0.750328,0.606537,0.623347,0.770091,4.252124,4.331033,0.133839,0.324048,0.437385,0.497048,20.275898,26.150245,28.511709,0.751930,13.778596,
12,0.685348,0.745132,0.599467,0.623071,0.764802,4.252124,4.252124,0.134556,0.325082,0.438172,0.498293,20.278782,26.107182,28.576805,0.751970,13.240639,
13,0.687271,0.739571,0.599056,0.622233,0.773412,4.230080,4.309847,0.132482,0.323373,0.435324,0.492877,20.219973,26.088523,28.712777,0.750319,13.416985,
14,0.689981,0.741892,0.609279,0.621180,0.775312,4.230080,4.230080,0.132272,0.322780,0.434043,0.491590,20.250630,26.096302,28.586656,0.749650,13.774950,
15,0.696401,0.747677,0.608385,0.628590,0.784550,4.266311,4.266311,0.131764,0.321257,0.433102,0.492479,20.229597,26.064818,28.740792,0.747844,14.770019,
16,0.687463,0.749453,0.609816,0.618021,0.767934,4.177805,4.289475,0.133537,0.323136,0.436988,0.500345,20.248378,26.039402,28.655591,0.750883,13.614512,
17,0.688973,0.750791,0.604887,0.618099,0.773735,4.177805,4.177805,0.132609,0.321455,0.433530,0.496518,20.265193,26.053196,28.704149,0.749370,13.782510,
18,0.687301,0.748985,0.612350,0.613910,0.770186,4.277810,4.289626,0.132935,0.321623,0.435213,0.502481,20.241437,26.053972,28.727740,0.748270,13.791674,
19,0.680975,0.749459,0.614330,0.610097,0.755377,4.277810,4.277810,0.133002,0.321286,0.433812,0.496920,20.266742,26.117925,28.687880,0.747336,12.781490,
20,0.683797,0.749372,0.613733,0.609072,0.764200,4.225203,4.298135,0.132594,0.320469,0.432949,0.496314,20.217092,26.114726,28.530767,0.745841,13.142543,
21,0.690062,0.745657,0.612086,0.619060,0.774089,4.225203,4.225203,0.134878,0.324857,0.437827,0.499213,20.269783,26.161234,28.638179,0.750798,13.897305,
22,0.685940,0.752169,0.606954,0.619283,0.763753,4.313762,4.372040,0.135317,0.326386,0.439152,0.501782,20.266478,26.076065,28.495515,0.751604,13.414273,
23,0.680946,0.749597,0.603750,0.611614,0.760145,4.313762,4.313762,0.134445,0.325070,0.438889,0.502093,20.225573,26.095861,28.493289,0.750872,12.798220,
