Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.873843,0.848884,0.790843,0.867512,0.929916,0.000000,0.000000,0.361565,0.752119,0.849546,0.886338,27.853231,31.677995,38.257649,0.966354,57.524826,
1,0.875434,0.851422,0.792335,0.868982,0.931043,4.143696,4.183528,0.363118,0.752270,0.850712,0.887879,27.917220,31.636164,38.252367,0.966319,62.468573,
2,0.873506,0.846087,0.785790,0.868655,0.930821,4.143696,4.143696,0.358027,0.750394,0.848803,0.885746,27.749567,31.594679,38.180835,0.965645,61.895876,
3,0.872971,0.851627,0.787005,0.866145,0.929125,4.176044,4.234938,0.360389,0.751112,0.848761,0.884075,27.805006,31.603812,38.188024,0.965673,61.687785,
4,0.875202,0.854247,0.793163,0.867355,0.929821,4.176044,4.176044,0.364236,0.752643,0.850120,0.885675,27.930635,31.624843,38.212974,0.966564,62.270709,
5,0.875768,0.853977,0.794882,0.867786,0.929644,4.221173,4.221173,0.365307,0.754329,0.850746,0.885212,27.936985,31.635432,38.181514,0.967220,62.405623,
6,0.874222,0.846992,0.790664,0.865173,0.932087,4.190485,4.228703,0.362747,0.754950,0.851795,0.887236,27.859462,31.632383,38.202182,0.967131,62.250952,
7,0.875967,0.853537,0.792849,0.866669,0.931890,4.190485,4.190485,0.366406,0.751927,0.849715,0.885403,28.012932,31.685775,38.199119,0.967102,62.402098,
8,0.870321,0.846717,0.783612,0.865645,0.925710,4.246238,4.311579,0.357098,0.749352,0.847992,0.884097,27.703406,31.586740,38.137236,0.966885,61.232889,
9,0.873832,0.851997,0.792919,0.865517,0.928754,4.246238,4.246238,0.361341,0.747894,0.845985,0.882722,27.846550,31.584860,38.177762,0.966323,61.759652,
10,0.876331,0.850059,0.793130,0.868804,0.932716,4.258768,4.258768,0.361600,0.750750,0.848841,0.884813,27.834681,31.602839,38.187722,0.966625,62.502032,
11,0.876290,0.848428,0.790751,0.868929,0.934386,4.252124,4.331033,0.358638,0.750516,0.849225,0.884903,27.774978,31.546982,38.140958,0.966003,62.520203,
12,0.877033,0.851743,0.789907,0.870930,0.933889,4.252124,4.252124,0.363388,0.751335,0.850578,0.886840,27.926377,31.582057,38.173995,0.966634,62.831083,
13,0.876063,0.848824,0.790522,0.870325,0.933162,4.230080,4.309847,0.358575,0.749452,0.847819,0.883748,27.757924,31.549308,38.166536,0.966444,62.326744,
14,0.874786,0.849639,0.792359,0.866546,0.931676,4.230080,4.230080,0.359423,0.750692,0.848751,0.885348,27.780009,31.570942,38.207591,0.966724,62.206094,
15,0.874660,0.848166,0.791365,0.867530,0.931603,4.266311,4.266311,0.357741,0.751033,0.849055,0.884544,27.749675,31.557116,38.186937,0.966128,62.176955,
16,0.875098,0.852893,0.796814,0.865136,0.930277,4.177805,4.289475,0.360793,0.749274,0.847128,0.882674,27.851370,31.579866,38.202489,0.966371,61.969258,
17,0.875045,0.852498,0.793825,0.864995,0.931748,4.177805,4.177805,0.359484,0.748590,0.846842,0.883378,27.824102,31.561043,38.180823,0.966210,62.008887,
