Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.791677,0.803960,0.699798,0.749672,0.872056,0.000000,0.000000,0.221105,0.520861,0.663116,0.733042,23.971122,29.075240,35.756587,0.883235,31.719667,
1,0.793985,0.806226,0.702100,0.749251,0.876272,4.143696,4.183528,0.222711,0.522724,0.664316,0.733116,23.996544,29.090185,35.756889,0.884590,35.930980,
2,0.791642,0.803568,0.697353,0.749365,0.872648,4.143696,4.143696,0.220637,0.518515,0.660137,0.728125,23.946984,29.045516,35.683396,0.882069,35.266224,
3,0.791415,0.807906,0.698729,0.747675,0.871393,4.176044,4.234938,0.222438,0.519639,0.659817,0.725604,23.961614,29.039058,35.677619,0.881952,35.074728,
4,0.794298,0.808744,0.705209,0.749813,0.873146,4.176044,4.176044,0.225080,0.524087,0.665243,0.732559,24.027219,28.988897,35.680929,0.884045,35.957721,
5,0.793929,0.808985,0.705034,0.750368,0.870895,4.221173,4.221173,0.225568,0.524795,0.664049,0.728836,24.038502,28.981633,35.667289,0.886113,35.687032,
6,0.793774,0.804839,0.705960,0.747770,0.873337,4.190485,4.228703,0.224074,0.522761,0.662819,0.728324,23.994819,29.012480,35.656550,0.885634,35.631618,
7,0.793765,0.808877,0.701858,0.748040,0.873453,4.190485,4.190485,0.227834,0.528903,0.669143,0.736169,24.108130,29.059930,35.693674,0.888845,36.038735,
8,0.789759,0.806797,0.699612,0.746204,0.867856,4.246238,4.311579,0.220352,0.516283,0.657224,0.725726,23.885909,29.002254,35.659371,0.884960,34.893400,
9,0.790577,0.808974,0.703922,0.739714,0.872873,4.246238,4.246238,0.222361,0.519649,0.660033,0.728348,23.942938,28.962790,35.661714,0.884708,35.148548,
10,0.792131,0.809217,0.704397,0.745628,0.871482,4.258768,4.258768,0.222046,0.520060,0.661271,0.728747,23.940831,28.980844,35.636073,0.883370,35.471594,
11,0.793714,0.811448,0.705386,0.753043,0.868527,4.252124,4.331033,0.220813,0.515139,0.656333,0.723754,23.940456,28.986848,35.664836,0.881883,35.483007,
12,0.795121,0.807576,0.702394,0.754403,0.873461,4.252124,4.252124,0.222071,0.519766,0.662224,0.731272,23.995150,29.046509,35.646161,0.883988,36.152204,
13,0.793461,0.802822,0.701671,0.752436,0.873444,4.230080,4.309847,0.219195,0.513623,0.655373,0.724040,23.902454,28.978787,35.685868,0.883354,35.459717,
14,0.794468,0.803775,0.705853,0.750735,0.874910,4.230080,4.230080,0.221328,0.517617,0.657223,0.723508,23.957313,28.993095,35.696219,0.884116,35.542263,
15,0.796160,0.807627,0.710149,0.751273,0.875500,4.266311,4.266311,0.219895,0.515446,0.655769,0.721663,23.922504,28.994161,35.686535,0.882046,35.798486,
16,0.792348,0.808401,0.704989,0.745867,0.871876,4.177805,4.289475,0.221196,0.515767,0.656593,0.724332,23.939031,28.998607,35.669078,0.882820,35.196686,
17,0.793964,0.808162,0.705520,0.747898,0.874009,4.177805,4.177805,0.221214,0.519131,0.659914,0.728758,23.979750,28.987475,35.646086,0.884046,35.715990,
18,0.793323,0.805518,0.705044,0.745476,0.875858,4.277810,4.289626,0.220472,0.515804,0.657739,0.728052,23.945163,28.984787,35.696641,0.882441,35.689871,
19,0.793285,0.806920,0.709664,0.744273,0.873909,4.277810,4.277810,0.221211,0.518615,0.659905,0.728567,23.962866,29.027146,35.696972,0.883245,35.690156,
20,0.794534,0.807330,0.711157,0.746691,0.874599,4.225203,4.298135,0.219663,0.514759,0.655872,0.725809,23.906591,29.003712,35.663810,0.881660,35.720983,
21,0.791531,0.805988,0.706166,0.745549,0.870313,4.225203,4.225203,0.221607,0.519717,0.661211,0.730830,23.957921,29.007966,35.715334,0.883947,35.459528,
22,0.789124,0.807057,0.707579,0.742950,0.865122,4.313762,4.372040,0.221848,0.519613,0.662611,0.732946,23.967069,28.959869,35.688322,0.885048,35.266551,
23,0.787067,0.807710,0.703381,0.743835,0.861510,4.313762,4.313762,0.221367,0.516548,0.658049,0.726601,23.925684,28.974701,35.659373,0.884736,34.538313,
24,0.788563,0.810338,0.704038,0.740591,0.866391,4.266847,4.331925,0.222452,0.515698,0.657684,0.726600,23.933663,28.940733,35.650129,0.883623,34.757257,
25,0.795058,0.805732,0.701911,0.752812,0.874539,4.266847,4.266847,0.222568,0.518609,0.660534,0.730524,23.943532,28.990733,35.678465,0.885699,36.099697,
26,0.788360,0.803294,0.701503,0.742989,0.866374,4.299096,4.392347,0.219225,0.515258,0.658098,0.725721,23.827096,28.961580,35.614408,0.883464,34.746329,
27,0.791141,0.799227,0.706119,0.747020,0.870569,4.299096,4.299096,0.218655,0.514162,0.656702,0.725466,23.835905,28.949900,35.622379,0.883315,35.216199,
28,0.792508,0.804854,0.704644,0.747579,0.873276,4.295869,4.379281,0.221516,0.519153,0.662300,0.731319,23.925980,28.960908,35.639794,0.884626,35.756949,
29,0.789426,0.807519,0.704509,0.749647,0.862634,4.295869,4.295869,0.220059,0.515916,0.657677,0.723724,23.869696,28.997782,35.657336,0.883675,34.791313,
30,0.789102,0.808490,0.709163,0.746900,0.861925,4.359880,4.380836,0.222838,0.517288,0.659143,0.726564,23.979169,29.021133,35.688765,0.884161,34.927321,
31,0.787855,0.808239,0.708841,0.750907,0.856089,4.318992,4.359880,0.221023,0.516079,0.657277,0.723075,23.895735,29.023912,35.627334,0.883083,34.485513,
32,0.788973,0.804441,0.709216,0.745602,0.863866,4.238091,4.318992,0.222087,0.521702,0.662399,0.729814,23.936411,29.035929,35.701932,0.885806,34.948405,
33,0.794918,0.806460,0.708208,0.751174,0.874298,4.238091,4.238091,0.224034,0.524599,0.664562,0.730762,24.001271,29.009320,35.699663,0.887042,36.008242,
34,0.796362,0.804155,0.706223,0.752294,0.877991,4.321673,4.336400,0.223508,0.524183,0.666337,0.735439,23.978273,29.022747,35.731830,0.886746,36.647197,
35,0.792602,0.805619,0.703167,0.750710,0.869085,4.252666,4.321673,0.223030,0.522879,0.663277,0.728740,23.980108,29.031487,35.733798,0.885777,35.522116,
36,0.795763,0.806344,0.704461,0.753858,0.872470,4.252666,4.252666,0.228592,0.530142,0.669545,0.736435,24.101424,29.132344,35.757734,0.889118,36.440134,
37,0.793990,0.802571,0.703608,0.752376,0.871798,4.216132,4.528132,0.221120,0.519207,0.660190,0.727223,23.902487,29.001980,35.696956,0.883922,35.676514,
38,0.797168,0.806309,0.703386,0.751517,0.879866,4.216132,4.216132,0.223348,0.524209,0.664514,0.731001,24.030540,29.021752,35.741612,0.886680,36.407852,
39,0.791395,0.808610,0.697840,0.742769,0.874746,4.366410,4.366410,0.224390,0.522535,0.663136,0.731525,23.990540,28.996419,35.684833,0.887122,35.563875,
40,0.788440,0.802660,0.702304,0.744466,0.865258,4.252495,4.404760,0.221957,0.518619,0.660110,0.728308,23.953048,28.958523,35.747542,0.885073,34.806101,
41,0.790997,0.809039,0.707006,0.739923,0.871681,4.252495,4.252495,0.226278,0.524738,0.664770,0.733214,24.021697,29.013163,35.736487,0.887053,35.455085,
42,0.793094,0.805831,0.706899,0.746511,0.873130,4.352244,4.453195,0.223927,0.520018,0.660342,0.728716,23.979085,28.977932,35.679420,0.885276,35.692789,
43,0.796089,0.806413,0.703213,0.747078,0.880140,4.317799,4.352244,0.227435,0.527802,0.666343,0.730355,24.079747,29.018700,35.724050,0.887513,36.210614,
44,0.799341,0.804458,0.711053,0.753385,0.879671,4.317799,4.317799,0.223586,0.522788,0.662687,0.728896,23.952236,29.066361,35.725195,0.884575,36.757771,
45,0.795514,0.809331,0.703883,0.750590,0.875383,4.329440,4.403574,0.223739,0.522082,0.661781,0.728786,23.955039,29.039677,35.760908,0.885235,36.086306,
46,0.792601,0.806417,0.699957,0.746479,0.873980,4.296791,4.329440,0.223325,0.523632,0.665250,0.733029,23.973487,29.056351,35.740955,0.886308,35.821542,
47,0.793913,0.807029,0.706231,0.750020,0.871637,4.296791,4.296791,0.225162,0.526013,0.665979,0.732133,23.996097,29.065843,35.765363,0.887348,35.953903,
48,0.792162,0.803486,0.705549,0.741835,0.874830,4.303929,4.407040,0.222408,0.517674,0.657929,0.725343,23.957777,29.056249,35.682863,0.883911,35.313006,
49,0.793110,0.807010,0.706057,0.749314,0.869344,4.282989,4.303929,0.225438,0.526091,0.665546,0.731363,24.026550,29.069862,35.786249,0.887371,35.745290,
50,0.790856,0.808923,0.707047,0.747035,0.866338,4.282989,4.282989,0.222834,0.521677,0.661632,0.727882,23.938729,29.038893,35.748389,0.885935,35.191675,
51,0.793081,0.808712,0.706294,0.749075,0.871139,4.297048,4.297740,0.225050,0.525379,0.664307,0.731256,24.000954,29.009741,35.696355,0.886933,35.739622,
52,0.788248,0.802858,0.698877,0.747703,0.865156,4.297048,4.297048,0.222355,0.524300,0.663658,0.730345,23.945156,29.054651,35.737870,0.886598,34.874896,
53,0.790101,0.804991,0.703441,0.743769,0.869998,4.307144,4.307144,0.226260,0.529743,0.667461,0.732164,24.021723,29.060190,35.749056,0.888738,35.243247,
54,0.785968,0.802469,0.695122,0.741793,0.865208,4.347281,4.347281,0.220425,0.517031,0.654564,0.719572,23.907932,29.071964,35.715874,0.884742,33.926392,
55,0.789546,0.807739,0.699256,0.747446,0.864540,4.337226,4.352931,0.223288,0.522676,0.661760,0.726661,24.000106,29.066436,35.736913,0.886490,34.924762,
56,0.794688,0.802160,0.701827,0.746729,0.878335,4.337226,4.337226,0.221246,0.518688,0.659320,0.725351,23.946988,29.061968,35.740771,0.883020,35.800484,
57,0.793187,0.805031,0.701677,0.745159,0.875705,4.376933,4.376933,0.220977,0.517595,0.657983,0.725334,23.935351,29.046151,35.738092,0.882684,35.572576,
58,0.798720,0.808138,0.705727,0.755310,0.879072,4.410045,4.410045,0.222809,0.520807,0.661420,0.727652,23.961952,29.092174,35.700041,0.884039,36.686847,
59,0.791620,0.804475,0.701185,0.743590,0.873494,4.426474,4.503894,0.220974,0.516177,0.657593,0.725121,23.897004,28.983909,35.661717,0.882888,35.355638,
60,0.794266,0.808222,0.702414,0.745137,0.875553,4.426474,4.426474,0.223374,0.521421,0.662023,0.728271,23.985870,29.021450,35.683812,0.884857,35.950986,
61,0.793656,0.810318,0.693684,0.747047,0.875908,4.477408,4.477408,0.223573,0.520959,0.662411,0.729353,24.001378,29.066237,35.690837,0.885170,35.966759,
62,0.789650,0.804486,0.693811,0.743125,0.869347,4.526395,4.526395,0.221858,0.519663,0.660807,0.727430,23.929814,29.051996,35.685804,0.883778,35.214818,
63,0.797096,0.808612,0.699440,0.747619,0.880962,4.550384,4.569063,0.226994,0.527934,0.668309,0.734826,24.092207,29.093424,35.755701,0.888033,36.893742,
64,0.793514,0.807108,0.703236,0.746899,0.873563,4.440232,4.550384,0.224061,0.525403,0.667353,0.734538,24.015435,29.090021,35.681127,0.886696,36.199414,
65,0.795371,0.804548,0.705458,0.751728,0.874259,4.440232,4.440232,0.224697,0.525496,0.666037,0.733266,24.009782,29.117200,35.820770,0.887061,36.421009,
66,0.795918,0.800328,0.700256,0.748907,0.881846,4.486765,4.521574,0.220816,0.520702,0.662017,0.728543,23.954041,29.018426,35.741787,0.884839,36.345056,
67,0.792973,0.801765,0.704845,0.748974,0.872796,4.486765,4.486765,0.221283,0.518178,0.658578,0.723907,23.936400,29.023965,35.715679,0.884241,35.556151,
68,0.793205,0.803049,0.700378,0.743298,0.879986,4.490535,4.490535,0.221343,0.518243,0.659812,0.726869,23.940894,29.068224,35.686295,0.883357,35.785029,
69,0.789291,0.801322,0.693064,0.741040,0.875799,4.585436,4.585436,0.218577,0.511640,0.652776,0.721647,23.858152,29.028956,35.693201,0.881228,34.928782,
70,0.794578,0.807305,0.694455,0.746912,0.880327,4.600852,4.600852,0.225228,0.526292,0.666238,0.734133,24.071464,29.091511,35.636720,0.886924,36.463377,
71,0.795179,0.801901,0.698038,0.746501,0.883779,4.561555,4.710339,0.219782,0.517252,0.659616,0.728532,23.897398,29.012328,35.636637,0.884137,36.315415,
